"Site","bracket","year","n_members","n_draws","P_exceed_naive","P_exceed_corrected","frac_temp_extrap"
"DL","low",2091,10,20000,1,0.826,0
"DL","low",2092,10,20000,1,0.8333,0
"DL","low",2093,10,20000,1,0.8327,0
"DL","low",2094,10,20000,1,0.83575,0
"DL","low",2095,10,20000,1,0.8331,0
"DL","low",2096,10,20000,1,0.84805,0
"DL","low",2097,10,20000,1,0.8605,0
"DL","low",2098,10,20000,1,0.8483,0
"FH","high",2026,11,22000,0,0,0
"FH","high",2027,11,22000,0,0,0
"FH","high",2028,11,22000,0,0,0
"FH","high",2029,11,22000,0,0,0
"FH","high",2030,11,22000,0,0,0
"FH","high",2031,11,22000,0,0,0
"FH","high",2032,11,22000,0,0,0
"FH","high",2033,11,22000,0,0,0
"FH","high",2034,11,22000,0,0,0
"FH","high",2035,11,22000,0,0,0
"FH","high",2036,11,22000,0,0,0
"FH","high",2037,11,22000,0,0,0
"FH","high",2038,11,22000,0,0,0
"FH","high",2039,11,22000,0,0,0
"FH","high",2040,11,22000,0,0,0
"FH","high",2041,11,22000,0,0,0
"FH","high",2042,11,22000,0,0,0
"FH","high",2043,11,22000,0,0,0
"FH","high",2044,11,22000,0,0,0
"FH","high",2045,11,22000,0,0,0
"FH","high",2046,11,22000,0,0,0
"FH","high",2047,11,22000,0,0,0
"FH","high",2048,11,22000,0,0,0
"FH","high",2049,11,22000,0,0,0
"FH","high",2050,11,22000,0,0,0
"FH","high",2051,11,22000,0,0,0
"FH","high",2052,11,22000,0,0,0
"FH","high",2053,11,22000,0,0,0
"FH","high",2054,11,22000,0,0,0
"FH","high",2055,11,22000,0,0,0
"FH","high",2056,11,22000,0,0,0
"FH","high",2057,11,22000,0,0,0
"FH","high",2058,11,22000,0,0,0
"FH","high",2059,11,22000,0,0,0
"FH","high",2060,11,22000,0,0,0
"FH","high",2061,11,22000,0,0,0
"FH","high",2062,11,22000,0,0,0
"FH","high",2063,11,22000,0,0,0
"FH","high",2064,11,22000,0,0,0
"FH","high",2065,11,22000,0,0,0
"FH","high",2066,11,22000,0,0,1
"FH","high",2067,11,22000,0,0,1
"FH","high",2068,11,22000,0,0,1
"FH","high",2069,11,22000,0,0,1
