Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BN,1998,6,Jun 1998,NA,NA,NA,0.09,NA,NA,0.012,NA,0.3,0.047,NA,NA,NA,NA
BN,1998,7,Jul 1998,NA,NA,NA,NA,0.04,NA,0.029,NA,0.1,0.108,NA,NA,NA,NA
BN,1998,8,Aug 1998,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.047,NA,NA,NA,NA
BN,1998,9,Sep 1998,NA,NA,NA,NA,NA,488,0.003,244,0.4,0.02,17.7,7.59,NA,NA
BN,1998,10,Oct 1998,NA,NA,NA,NA,0.03,451,0.015,227,0.4,0.04,9.1,7.18,NA,NA
BN,1998,11,Nov 1998,NA,NA,NA,NA,0.02,421,0.008,213,0.2,0.02,4.8,7.71,NA,NA
BN,1998,12,Dec 1998,NA,NA,NA,NA,0.19,490,NA,249,0.1,0.02,2.1,6.38,NA,NA
BN,1999,1,Jan 1999,NA,NA,NA,NA,0.21,608,0.024,304,NA,0.033,1.8,5.87,NA,NA
BN,1999,3,Mar 1999,NA,NA,NA,0.07,0.12,395,0.048,201,NA,0.316,3.1,5.94,NA,0.19
BN,1999,4,Apr 1999,NA,NA,NA,NA,0.1,444,0.007,223,0.3,0.06,7.7,6.74,NA,NA
BN,1999,5,May 1999,NA,NA,NA,NA,0.02,339,0.012,170,0.15000000000000002,0.135,12.05,7.895,NA,NA
BN,1999,6,Jun 1999,NA,NA,NA,0.02,0.05,367,0.019,182,0.3,0.097,20.7,7.55,NA,0.07
BN,1999,7,Jul 1999,NA,NA,NA,0.01,NA,476,0.018,237,0.2,0.071,17.5,NA,NA,NA
BN,1999,8,Aug 1999,NA,NA,NA,0.03,0.03,484,0.021,245,0.6,0.081,15.6,7.59,NA,0.06
BN,1999,9,Sep 1999,NA,NA,NA,0.01,NA,504,0.007,263,0.3,0.026,16.3,5.94,NA,NA
BN,1999,10,Oct 1999,NA,NA,NA,0.13,0.01,365,0.02,191,0.3,0.056,4.2,8.42,NA,0.14
BN,1999,11,Nov 1999,NA,NA,NA,0.03,0.02,492,0.009,245,0.2,0.031,5,NA,NA,0.05
BN,1999,12,Dec 1999,NA,NA,NA,0.03,0.19,475,0.011,237,0.4,0.032,1.9,7.64,NA,0.22
BN,2000,1,Jan 2000,NA,NA,NA,0.06,0.39,483,0.009,244,0.2,0.035,2.5,6.16,NA,0.45
BN,2000,2,Feb 2000,NA,NA,NA,0.06,0.15,387,0.06,199,1.2,0.281,3.2,8.07,NA,0.21
BN,2000,3,Mar 2000,NA,NA,NA,0.01,NA,414,0.007,207,0.2,0.028,8.7,8.53,NA,NA
BN,2000,5,May 2000,NA,NA,NA,0.045000000000000005,0.05,453.5,0.019000000000000003,226.5,0.3,0.025,18.2,8.105,1.1,0.095
BN,2000,6,Jun 2000,NA,NA,NA,0.01,NA,492,0.005,246,0.3,0.041,18.8,8.49,6.74,NA
