"Site","bracket","year","median_logCHLa","p10_logCHLa","p90_logCHLa","n_members","frac_temp_extrap"
"GR","high",2045,1.94322855702078,1.88830765067875,2.03000161865265,11,0
"GR","high",2046,1.95269896872082,1.89338570318317,2.02449761914006,11,0
"GR","high",2047,1.94344247705664,1.87670798986362,2.03616690572192,11,0
"GR","high",2048,1.94577168930429,1.88030143379465,2.02034832309823,11,0
"GR","high",2049,1.93785403997686,1.88501319445928,2.0241994181265,11,0
"GR","high",2050,1.94236112466438,1.88863330137577,2.02353893201145,11,0
"GR","high",2051,1.9351599232615,1.86628737075132,2.03569158316931,11,0
"GR","high",2052,1.93805740993719,1.85984971233632,2.0435438412664,11,0
"GR","high",2053,1.95266130609377,1.85411978984804,2.04597284244963,11,0
"GR","high",2054,1.9382986644851,1.84891443721674,2.03127574116142,11,0
"GR","high",2055,1.93373588723841,1.85385889134498,2.04553322009552,11,0
"GR","high",2056,1.92489185510243,1.84988863423335,2.08812342891392,11,0
"GR","high",2057,1.92795454892658,1.8300036538733,2.07738387971104,11,0
"GR","high",2058,1.92711224955823,1.84635427881012,2.07898781593932,11,0
"GR","high",2059,1.9423716628691,1.83576482857639,2.07447278839616,11,0
"GR","high",2060,1.94128749989896,1.85237451231453,2.03963008892668,11,0
"GR","high",2061,1.93840225494023,1.85136688409037,2.08089375954057,11,0
"GR","high",2062,1.93290811435548,1.85273987284916,2.06875964812012,11,0
"GR","high",2063,1.96004796658226,1.86080812965525,2.05361520698608,11,0
"GR","high",2064,1.96078086889203,1.85948108474249,2.05613815423956,11,0
"GR","high",2065,1.97082716163591,1.86569328044212,2.05878576781198,11,0
"GR","high",2066,1.96325947843334,1.88235978843984,2.04796098795261,11,0
"GR","high",2067,1.96178837106794,1.87049799962522,2.05153338579376,11,0
"GR","high",2068,1.95887636225543,1.87194038059992,2.05084705240971,11,0
"GR","high",2069,1.97922950590225,1.87397959218258,2.04662741409714,11,0
"GR","high",2070,2.00290730865858,1.8787376051087,2.07160304364047,11,0
"GR","high",2071,2.00374951876617,1.90375421899333,2.07713709426387,11,0
"GR","high",2072,1.99967496733479,1.89920003282246,2.07048948227428,11,0
"GR","high",2073,2.01460532087715,1.8923677167658,2.08789232638965,11,0
"GR","high",2074,2.02564027522939,1.93279740609167,2.08399424469249,11,0
"GR","high",2075,2.02449813256559,1.94385403127095,2.08556567903478,11,0
"GR","high",2076,2.03212009675443,1.9440509506365,2.08459884540448,11,0
"GR","high",2077,2.01091278192147,1.95463095794798,2.08237038082932,11,0
"GR","high",2078,2.03454125707527,1.96370315265418,2.07226297878867,11,0
"GR","high",2079,2.03865505196528,1.98493671789564,2.07913656211855,11,0
"GR","high",2080,2.03793712489928,1.99877084456875,2.07814354889797,11,0
"GR","high",2081,2.03761971425211,1.99868525042256,2.07142145032723,11,0
"GR","high",2082,2.03870954748232,2.01183874634335,2.09048531714683,11,0
"GR","high",2083,2.05332787402704,2.00370973864731,2.09258110072909,11,0
"GR","high",2084,2.04476697565318,2.01117520171567,2.111657917557,11,0
"GR","high",2085,2.05864790730414,2.00482603239123,2.09445585481154,11,0
"GR","high",2086,2.07594400328067,2.00572390464821,2.12223350812429,11,0
"GR","high",2087,2.0732989782667,1.9928737522353,2.12656820808577,11,0
"GR","high",2088,2.07580934192375,1.98357219221331,2.12237883435632,11,0
"GR","high",2089,2.08469215654983,2.00961167890342,2.13204713413577,11,0
"GR","high",2090,2.0888305564537,2.0071055232663,2.13791844634247,11,0
"GR","high",2091,2.08620768337,1.9975883808177,2.12544902696776,11,0
"GR","high",2092,2.08319996364196,2.00152336657786,2.12922686281432,11,0
